id;slug;name;created_date;is_active
32775c3f-2f3c-4d1d-a6d0-6902eedde862;produce;Produce;2021-05-29T19:44:41;false
2839e0f6-846f-483b-992b-37899a01d973;meat;Meat;2021-05-29T18:48:29;true
4c1191a8-ee4f-4985-98e6-a746c3880ae8;electronics;Electronics;2021-05-29T02:33:02;false
5bab0951-1d04-4e5b-9388-eeb398be1f82;dairy;Dairy;2021-05-29T03:15:17;false
a0548fe3-be90-4404-aae6-99bc0e7c3565;cheese;Cheese;2021-05-29T03:43:22;true
b1a11f5b-e9c3-423f-82c9-ecc9e2bbe034;Apparel;Apparel;2021-05-29T21:19:48;false
e71e27b7-79c2-46b6-8016-6f63fbea1c4d;tax-services;Tax Services;2021-05-29T07:43:18;true
cc31c2b1-9ee3-43bc-9f84-769d304f79fa;tutoring;Tutoring;2021-05-29T23:19:10;false
5f83a158-53b0-493c-8ab1-a606ec976db7;furniture;Furniture;2021-05-29T00:41:22;true
295e97e7-22a2-4fa0-b050-b5374c9c7e42;livestock;Livestock;2021-05-29T02:52:09;false
